Press,Temp,COND,Sal,DENS,C
100.0354,0.2854,29.1715,34.79,28.4,1451.79
100.2859,0.286,29.1715,34.79,28.4,1451.8
100.5006,0.2854,29.1727,34.79,28.4,1451.8
100.7868,0.2854,29.1727,34.79,28.4,1451.81
101.0373,0.2854,29.1727,34.79,28.4,1451.81
101.2877,0.286,29.1739,34.79,28.41,1451.82
101.5024,0.2866,29.1739,34.79,28.41,1451.82
101.7528,0.2866,29.1727,34.79,28.41,1451.83
102.0391,0.286,29.1739,34.79,28.41,1451.83
102.2538,0.286,29.1727,34.79,28.41,1451.83
102.4684,0.286,29.1739,34.79,28.41,1451.84
102.7547,0.2854,29.1739,34.79,28.41,1451.84
103.0409,0.286,29.1739,34.79,28.41,1451.85
103.3271,0.286,29.1739,34.79,28.41,1451.85
103.5776,0.286,29.1739,34.79,28.42,1451.85
103.7922,0.286,29.1739,34.79,28.42,1451.86
104.1142,0.2854,29.1739,34.79,28.42,1451.86
104.2931,0.286,29.1751,34.79,28.42,1451.87
104.5078,0.2854,29.1751,34.79,28.42,1451.87
104.8298,0.286,29.1751,34.79,28.42,1451.88
105.0802,0.2849,29.1739,34.79,28.42,1451.87
105.2949,0.2843,29.1739,34.79,28.42,1451.88
105.5096,0.2843,29.1739,34.79,28.43,1451.88
105.7958,0.2849,29.1739,34.79,28.43,1451.88
106.0105,0.2831,29.1727,34.79,28.43,1451.88
106.2609,0.2831,29.1751,34.8,28.43,1451.89
106.5829,0.2837,29.1727,34.79,28.43,1451.89
106.7976,0.2837,29.1727,34.79,28.43,1451.89
107.0122,0.2825,29.169,34.79,28.43,1451.89
107.2627,0.2772,29.1555,34.78,28.42,1451.85
107.5131,0.263,29.1457,34.78,28.42,1451.79
107.7635,0.2518,29.142,34.79,28.43,1451.76
108.0497,0.2465,29.1383,34.79,28.44,1451.74
108.336,0.2382,29.1248,34.78,28.43,1451.7
108.5864,0.2282,29.115,34.78,28.43,1451.65
108.8368,0.2182,29.1089,34.78,28.43,1451.61
109.0872,0.2099,29.1052,34.79,28.44,1451.59
109.3377,0.2046,29.1015,34.79,28.44,1451.57
109.5881,0.2005,29.0942,34.78,28.44,1451.55
109.8028,0.194,29.0917,34.79,28.44,1451.52
110.1247,0.1881,29.0856,34.78,28.44,1451.5
110.3394,0.1834,29.0844,34.79,28.45,1451.49
110.6614,0.181,29.0807,34.78,28.45,1451.48
110.8402,0.1781,29.077,34.78,28.45,1451.47
111.1264,0.1733,29.0733,34.78,28.45,1451.45
111.3053,0.1686,29.0709,34.79,28.45,1451.43
111.6273,0.1663,29.0709,34.79,28.46,1451.43
111.8062,0.1657,29.0721,34.79,28.46,1451.43
112.0566,0.1663,29.0721,34.79,28.46,1451.44
112.3428,0.1657,29.0721,34.79,28.46,1451.44
112.5932,0.1657,29.0721,34.79,28.46,1451.45
112.8436,0.1657,29.0709,34.79,28.46,1451.45
113.094,0.1657,29.0709,34.79,28.46,1451.45
113.3444,0.1663,29.0721,34.79,28.47,1451.46
113.5591,0.1663,29.0721,34.79,28.47,1451.46
113.8095,0.1663,29.0721,34.79,28.47,1451.47
114.0599,0.1663,29.0733,34.79,28.47,1451.47
114.3819,0.1663,29.0733,34.79,28.47,1451.48
114.5607,0.1663,29.0733,34.79,28.47,1451.48
114.8112,0.1663,29.0721,34.79,28.47,1451.48
115.0616,0.1663,29.0721,34.79,28.47,1451.49
115.312,0.1657,29.0721,34.79,28.47,1451.49
115.5266,0.1657,29.0733,34.79,28.48,1451.49
115.777,0.1651,29.0697,34.79,28.47,1451.49
115.9917,0.1615,29.0611,34.78,28.47,1451.47
116.3136,0.1497,29.0402,34.76,28.46,1451.4
116.5998,0.1297,29.0292,34.77,28.47,1451.32
116.7429,0.1167,29.0145,34.77,28.47,1451.26
117.0648,0.1002,29.0046,34.77,28.47,1451.2
117.2437,0.0896,29.001,34.78,28.48,1451.16
117.5656,0.0837,28.9936,34.78,28.48,1451.13
117.7803,0.0766,28.9912,34.78,28.49,1451.11
118.0307,0.0736,29.0108,34.81,28.51,1451.14
118.3168,0.0955,29.0439,34.83,28.53,1451.27
118.5315,0.1256,29.0586,34.81,28.51,1451.39
118.7103,0.1468,29.0684,34.8,28.5,1451.48
119.1038,0.158,29.0709,34.79,28.5,1451.52
119.3184,0.1604,29.0819,34.8,28.51,1451.55
